fontTitleLarge,google-symbols,bYkqId,wNNZR,hfpxzc href,qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye (2),W4Efsd,W4Efsd (2),W4Efsd (3),W4Efsd (4),W4Efsd (5),FQ2IWe src,ah5Ghc,M4A5Cf,ah5Ghc (2),M4A5Cf (2),ah5Ghc (3),A1zNzb href,J8zHNe,bbPy1,doJOZc
結果,,,分享,,,,,,,,,,,,,,,,,,,,,
結果,,,分享,,,,,,,,,,,,,,,,,,,,,
,,,,https://www.google.com/maps/place/%E6%9C%89%E8%B2%93%E6%97%A9%E9%A4%90+U+Meow+Breakfast/data=!4m7!3m6!1s0x34693dfa605196fd:0xf1148cb9bc26870e!8m2!3d24.1414636!4d120.6345004!16s%2Fg%2F11pcnv3hcp!19sChIJ_ZZRYPo9aTQRDocmvLmMFPE?authuser=0&hl=zh-TW&rclk=1,有貓早餐 U Meow Breakfast,4.6,(177),·,$1-200,早餐,·,永春路12-8號,已打烊,⋅ 開始營業時間：週五06:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqgqA65epcnrEs2STIIloY0ukQGTuYHyi3ML9gkkJMX6HFaSPGqJ5GQAKwvc40fd4Yb8LHC0Cz3-XfvqqKzrpd17HIFtiVS5MypVBn14AH2dsnQ64M1ogEMWDtTrJ_sh8Lq8fviw=w92-h92-k-no,內用,·,外帶,,,,,,
,,,,https://www.google.com/maps/place/%E6%97%A9%E5%AE%89%E9%A5%97%E6%9D%91%2F%E9%85%A5%E7%9A%AE%E8%9B%8B%E9%A4%85%2F%E7%89%B9%E8%A3%BD%E8%BE%A3%E6%A4%92%2F%E5%8D%97%E5%B1%AF%E6%8E%A8%E8%96%A6%E6%97%A9%E9%A4%90/data=!4m7!3m6!1s0x34693d6fcbca198f:0x5c2a22056befe595!8m2!3d24.1447637!4d120.6371093!16s%2Fg%2F11dxhz04ld!19sChIJjxnKy289aTQRleXvawUiKlw?authuser=0&hl=zh-TW&rclk=1,早安饗村/酥皮蛋餅/特製辣椒/南屯推薦早餐,4.6,(517),·,$1-200,早餐,·,黎明路二段90號,已打烊,⋅ 開始營業時間：週五06:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwQyTDaLUY_QNOe2H1YfHTXavVRw-hVXkShO7unbZ3bcVXFQEOL5nOtPu90emAqsF1lgzvOG-VSOk5RnlJkJn_Q5bK_Oq-WEur8kELeemilpo6WIWcI9ADvUHF7ackk40x0MTCH=w122-h92-k-no,內用,·,外帶,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11dxhz04ld&g2lbs=AO8LyOI1eW8AG_O9Q9C3grKc1aQobav_LYE_PHG17c__ZM-bDuEv6S4oy_6TfFZP_gazcUhwnQ9BlfKpmMPxXR6lcPQ7yu0xgqUHTXQ3SET70CCSJDQWjn0%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=9YxWad2aOYXk1e8PxISCyA0&ei=9YxWad2aOYXk1e8PxISCyA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp,"
線上點餐",,
,,,,https://www.google.com/maps/place/%E7%99%BD%E8%B2%93%E6%95%A3%E6%AD%A5+Gatto+Bianco/data=!4m7!3m6!1s0x34693dc7625f9745:0xfdf9dab83cab77a3!8m2!3d24.1427059!4d120.6324035!16s%2Fg%2F1pyqnwrl5!19sChIJRZdfYsc9aTQRo3erPLja-f0?authuser=0&hl=zh-TW&rclk=1,白貓散步 Gatto Bianco,4.4,"(1,881)",·,$400-600,早午餐,·,·,已打烊,⋅ 開始營業時間：週五11:00,https://lh3.googleusercontent.com/p/AF1QipPseRbybuXuW4V3eVuNjB176SmteLYFakEeFCHa=w137-h92-k-no,內用,·,外帶,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/1pyqnwrl5&g2lbs=AO8LyOIlHbQXRc3phH44KWiglxijoJDq93DlqDHWJKweOhmywd75FraRFMvBhni_1HqWoGoFG0j3DT2nisibFj9GUtl7tFXAAt-Z5S1L_cLQW3esB8lSJzw%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=9YxWad2aOYXk1e8PxISCyA0&ei=9YxWad2aOYXk1e8PxISCyA0&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp,"
線上點餐",,
,,,,https://www.google.com/maps/place/%E8%BF%B0%E6%86%B6%E7%81%B6%E5%92%96+%E6%97%A9%E5%8D%88%E9%A4%90.%E7%A7%81%E5%BB%9A.%E5%A4%96%E7%87%B4%EF%BC%88%E6%9C%80%E5%BE%8C%E9%BB%9E%E9%A4%9015:00%29/data=!4m7!3m6!1s0x34693df0f2a4634d:0x45b554e7ad5f85cd!8m2!3d24.1430953!4d120.6390241!16s%2Fg%2F11rfd5fkdm!19sChIJTWOk8vA9aTQRzYVfredUtUU?authuser=0&hl=zh-TW&rclk=1,述憶灶咖 早午餐.私廚.外燴（最後點餐15:00),4.8,(385),·,$200-400,早午餐,·,大墩四街572號,已打烊,⋅ 開始營業時間：週五10:00,https://lh3.googleusercontent.com/p/AF1QipM8fAj7s7dbKl_89c_NH_kKoU1auPNKWIm5MQhc=w122-h92-k-no,內用,·,免下車服務,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11rfd5fkdm&g2lbs=AO8LyOL_AqRhtQgBfQSiKcfEIv1f6cUbsc6NiHzja4xhhOKhtLVVv4bvCobjEQ8shwS0yY3qKwXLKh_w1A1sombzK51ApkHd8f_2o1GGHU3wNg31jdiKtE8%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=9YxWad2aOYXk1e8PxISCyA0&ei=9YxWad2aOYXk1e8PxISCyA0&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,
,,,,https://www.google.com/maps/place/%E6%9C%9D%E5%8F%B8%E6%9A%AE%E6%83%B3%E8%82%89%E6%8E%92%E8%9B%8B%E3%80%82%E5%8F%B0%E4%B8%AD%E5%8D%97%E5%B1%AF%E6%97%A9%E9%A4%90%E5%BA%97/data=!4m7!3m6!1s0x34693da2c5752a91:0x5e35e2dbd8c1f1d4!8m2!3d24.1357177!4d120.6372512!16s%2Fg%2F11f55j8cw1!19sChIJkSp1xaI9aTQR1PHB2NviNV4?authuser=0&hl=zh-TW&rclk=1,朝司暮想肉排蛋。台中南屯早餐店,4.4,(226),·,$1-200,早餐,·,永春東路1022號,已打烊,⋅ 開始營業時間：週五05:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzqI6rZp0jYks46n_fBqmzl0RX84jyf8Gfy_NT6MgULIijSdelTJHMlVjm2vm4ZmSpqyYYUfjRI1INv70__SQavBUAvkotmqzi8F1_5gdgbIAzvKklqOboVzT1SkP9efoTx9J26gQ=w138-h92-k-no,內用,·,外送,,,https://www.google.com/viewer/chooseprovider?mid=/g/11f55j8cw1&g2lbs=AO8LyOJqXwSunm1n3qZtFwGgGx1_lwsRTfHzqufDDYFjrcpoV50zKes5PPovvvDlGHrKu1zvMpFXGL0ClCUrNInxO6ZpKF8xyXzwj2n98pLPNzORZ4HA5tw%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=9YxWad2aOYXk1e8PxISCyA0&ei=9YxWad2aOYXk1e8PxISCyA0&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,
,,,,https://www.google.com/maps/place/%E9%9D%92%E7%91%AA+shimajima/data=!4m7!3m6!1s0x34693ff673531613:0x8b87f53644f5e52d!8m2!3d24.1482791!4d120.6076565!16s%2Fg%2F11hk0q2l6f!19sChIJExZTc_Y_aTQRLeX1RDb1h4s?authuser=0&hl=zh-TW&rclk=1,青瑪 shimajima,4.6,(308),·,$200-400,餐廳,·,·,即將打烊,：00:00 · 開始營業時間：週五09:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIfDD1dCvQ_0L2CdCn4zBMX8PgehzRYtJ4lQhZmdUK0HwkErLGPLIMUJ8Egrvni2x3ieQhfKpd4ga0shTZWRGMAOQqBIAithUJKZ_NCbezk7WaLHn_RERGBzTIDpkiNs3w-o4=w80-h142-k-no,內用,·,外帶,·,外送,,,,
,,,,https://www.google.com/maps/place/%E8%89%BE%E5%88%9D%E6%97%A9%E9%A4%90+%E5%B6%BA%E6%9D%B1%E7%B2%BE%E7%A7%91%E5%BA%97/data=!4m7!3m6!1s0x34693f80499e4629:0x1ebdba36b24eed39!8m2!3d24.145833!4d120.6111371!16s%2Fg%2F11thqs423l!19sChIJKUaeSYA_aTQROe1Osja6vR4?authuser=0&hl=zh-TW&rclk=1,艾初早餐 嶺東精科店,4.7,(907),·,$1-200,早午餐,·,嶺東路392號,已打烊,⋅ 開始營業時間：週五05:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxaEYUaAwR7-lHu7jwR3cxQ1arWKgc8mQD-efv-ICYxKDxidV4edZMahU-v_9sDaVc6qdJcbIsEzLF22OdPw5wtK4ADD75yOkFVse7RGkS4V_8NE91UrXW8K-XMwKBBIa8GFnV_=w80-h106-k-no,內用,·,外帶,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11thqs423l&g2lbs=AO8LyOIPNvgO6bmjpIK1CIHPD7I8PPk-XWnM32ux7xgdRTyV0mZ8iu1n64R95yWw3-loqUjvXC0UMR9-bE-oV-4TKt8b4ppy2aT00vwGpBNHcVB3TTJvciQ%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=9YxWad2aOYXk1e8PxISCyA0&ei=9YxWad2aOYXk1e8PxISCyA0&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,
,,,,https://www.google.com/maps/place/%E6%97%A9%E9%A3%9F%E5%96%83%E5%96%83+%E5%8D%97%E5%B1%AF%E5%BA%97/data=!4m7!3m6!1s0x34693d2182f06095:0x7db54e6761cb953a!8m2!3d24.1384588!4d120.6415652!16s%2Fg%2F11r9gc16d9!19sChIJlWDwgiE9aTQROpXLYWdOtX0?authuser=0&hl=zh-TW&rclk=1,早食喃喃 南屯店,4.0,(345),·,$1-200,早午餐,·,·,已打烊,⋅ 開始營業時間：週五07:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXwSqyNBEqosWznS-vlp30dCtA_Icd4XnBZcH-2VthVtyAI-xeXnK5qKrAyIJtP4_uzr-PN5RDLZbvHK1NeHMH0KYgUn_ZU2SsZV-Tw42MPbrsHxQ2pe4-tHdwolVo6uKNx_vLGA=w122-h92-k-no,內用,·,外帶,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11r9gc16d9&g2lbs=AO8LyOL97diu6gMfN7JVC18RTbebv00rdnImbgEwwFxsmHW4kikBGzQ4vS69CGOd7zZD6yHzr9URYX1xEai-eiZ2hXGYRMo8MHc_CogH-nDrCAhmhH2_pzE%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=9YxWad2aOYXk1e8PxISCyA0&ei=9YxWad2aOYXk1e8PxISCyA0&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,
,,,,https://www.google.com/maps/place/%E5%8D%97%E5%B1%AF%E8%B7%AF%E5%8A%9B%E9%A5%97%E7%AB%99%EF%BC%88%E5%8D%97%E5%B1%AF%26%E6%B0%B8%E6%98%A5%E8%B7%AF%E5%8F%A3%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x34693dc58c785ff5:0xc672e5d20dc25dc7!8m2!3d24.1414673!4d120.6356162!16s%2Fg%2F11fhrhm6hr!19sChIJ9V94jMU9aTQRx13CDdLlcsY?authuser=0&hl=zh-TW&rclk=1,南屯路力饗站（南屯&永春路口店）,4.3,(63),·,$1-200,早餐,·,南屯路二段902號,已打烊,⋅ 開始營業時間：週五05:45,https://lh3.googleusercontent.com/p/AF1QipO2OZa0z7VsBgShqBhFl7QhOeE04rsonxUJJND5=w163-h92-k-no,內用,·,外帶,,,,,,
,,,,https://www.google.com/maps/place/%E4%BE%86%E9%BB%9E%E4%BB%80%E9%BA%BC-%E5%8D%97%E5%B1%AF%E6%9E%97%E6%96%B0%E5%BA%97+%EF%BD%9C%E9%9F%93%E5%BC%8F%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E9%9F%93%E5%BC%8F%E9%A3%AF%E6%8D%B2%EF%BD%9C%E6%90%96%E6%90%96%E4%BE%BF%E7%95%B6%EF%BD%9C%E7%B2%89%E6%BC%BF%E8%9B%8B%E9%A4%85%EF%BD%9C%E6%97%A9%E9%A4%90%EF%BD%9C%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84/data=!4m7!3m6!1s0x34693d0039b51e53:0x9b3ba20c06da5cd7!8m2!3d24.148622!4d120.6399766!16s%2Fg%2F11vsh85t6l!19sChIJUx61OQA9aTQR11zaBgyiO5s?authuser=0&hl=zh-TW&rclk=1,來點什麼-南屯林新店 ｜韓式早午餐｜韓式飯捲｜搖搖便當｜粉漿蛋餅｜早餐｜早午餐｜寵物友善,4.8,(341),·,$1-200,早午餐,·,大墩十一街453號,已打烊,⋅ 開始營業時間：週五06:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzI0EXI5fJ3NhM6dtcflYEnhsy0D_5qVazNGafd4YaZQpqjcw12WjoP4CaURT0gsZH41KJnoO-AABF9Xo2mfOeIFUSC4NoZjXE8OITRUh8QQoxL1dIYxsXltaZgdyM8zXHS0c3bvzmwsLAW=w92-h92-k-no,內用,·,外帶,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11vsh85t6l&g2lbs=AO8LyOLNbaXOrlO01357McuPQ2A_gFilYqUWDhTPKrTot9sMayiDgRzKQD3g0CpN20AF21Yyx88UrxD1kuyGrVsqorZoQjZVdaJ_N_MAHJmkGFDjiXD8jSE%3D&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=9YxWad2aOYXk1e8PxISCyA0&ei=9YxWad2aOYXk1e8PxISCyA0&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,
